origine,destination,delta_days,proba_open
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,0,0.0
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,1,0.0
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,2,0.0
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,3,0.0
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,4,0.0
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,5,0.0
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,6,0.0
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,7,0.0
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,8,0.0
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,9,0.0
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,10,0.0
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,11,0.0
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,12,0.0
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,13,0.0
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,14,0.0
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,15,0.0
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,16,0.0
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,17,0.0
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,18,0.0
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,19,0.0
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,20,0.0
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,21,0.0
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,22,0.0
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,23,0.0
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,24,0.0
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,25,0.0
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,26,0.0
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,27,0.0
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,28,0.0
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,29,0.0
BELLEGARDE SUR VALSERINE GARE,GENEVE CORNAVIN,30,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,0,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,1,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,2,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,3,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,4,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,5,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,6,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,7,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,8,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,9,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,10,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,11,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,12,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,13,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,14,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,15,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,16,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,17,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,18,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,19,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,20,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,21,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,22,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,23,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,24,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,25,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,26,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,27,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,28,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,29,0.0
BELLEGARDE SUR VALSERINE GARE,LAUSANNE,30,0.0
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,0,0.0011764705882352942
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,1,0.0005882352941176471
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,2,0.0
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,3,0.0
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,4,0.0005813953488372093
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,5,0.0005813953488372093
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,6,0.0
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,7,0.0
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,8,0.0
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,9,0.0
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,10,0.0
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,11,0.0
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,12,0.0
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,13,0.0
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,14,0.0
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,15,0.0
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,16,0.0
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,17,0.0
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,18,0.0
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,19,0.0
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,20,0.0
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,21,0.0
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,22,0.0
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,23,0.0
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,24,0.0
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,25,0.0
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,26,0.0
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,27,0.0
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,28,0.0
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,29,0.0
BOURG EN BRESSE,BELLEGARDE SUR VALSERINE GARE,30,0.0
