origine,destination,delta_days,proba_open
AIME LA PLAGNE,ALBERTVILLE,0,0.7611111111111111
AIME LA PLAGNE,ALBERTVILLE,1,0.7555555555555555
AIME LA PLAGNE,ALBERTVILLE,2,0.7722222222222223
AIME LA PLAGNE,ALBERTVILLE,3,0.7722222222222223
AIME LA PLAGNE,ALBERTVILLE,4,0.5666666666666667
AIME LA PLAGNE,ALBERTVILLE,5,0.5611111111111111
AIME LA PLAGNE,ALBERTVILLE,6,0.5611111111111111
AIME LA PLAGNE,ALBERTVILLE,7,0.5444444444444445
AIME LA PLAGNE,ALBERTVILLE,8,0.55
AIME LA PLAGNE,ALBERTVILLE,9,0.5444444444444445
AIME LA PLAGNE,ALBERTVILLE,10,0.55
AIME LA PLAGNE,ALBERTVILLE,11,0.5388888888888889
AIME LA PLAGNE,ALBERTVILLE,12,0.4444444444444444
AIME LA PLAGNE,ALBERTVILLE,13,0.4444444444444444
AIME LA PLAGNE,ALBERTVILLE,14,0.4277777777777778
AIME LA PLAGNE,ALBERTVILLE,15,0.3611111111111111
AIME LA PLAGNE,ALBERTVILLE,16,0.43333333333333335
AIME LA PLAGNE,ALBERTVILLE,17,0.43333333333333335
AIME LA PLAGNE,ALBERTVILLE,18,0.4277777777777778
AIME LA PLAGNE,ALBERTVILLE,19,0.4388888888888889
AIME LA PLAGNE,ALBERTVILLE,20,0.4388888888888889
AIME LA PLAGNE,ALBERTVILLE,21,0.4388888888888889
AIME LA PLAGNE,ALBERTVILLE,22,0.4388888888888889
AIME LA PLAGNE,ALBERTVILLE,23,0.4166666666666667
AIME LA PLAGNE,ALBERTVILLE,24,0.34444444444444444
AIME LA PLAGNE,ALBERTVILLE,25,0.3333333333333333
AIME LA PLAGNE,ALBERTVILLE,26,0.3333333333333333
AIME LA PLAGNE,ALBERTVILLE,27,0.3333333333333333
AIME LA PLAGNE,ALBERTVILLE,28,0.3277777777777778
AIME LA PLAGNE,ALBERTVILLE,29,0.15555555555555556
AIME LA PLAGNE,ALBERTVILLE,30,0.01666666666666667
AIME LA PLAGNE,ANGERS SAINT LAUD,0,0.7388888888888889
AIME LA PLAGNE,ANGERS SAINT LAUD,1,0.6666666666666666
AIME LA PLAGNE,ANGERS SAINT LAUD,2,0.6666666666666666
AIME LA PLAGNE,ANGERS SAINT LAUD,3,0.6666666666666666
AIME LA PLAGNE,ANGERS SAINT LAUD,4,0.4555555555555555
AIME LA PLAGNE,ANGERS SAINT LAUD,5,0.44999999999999996
AIME LA PLAGNE,ANGERS SAINT LAUD,6,0.44999999999999996
AIME LA PLAGNE,ANGERS SAINT LAUD,7,0.44999999999999996
AIME LA PLAGNE,ANGERS SAINT LAUD,8,0.4444444444444444
AIME LA PLAGNE,ANGERS SAINT LAUD,9,0.4444444444444444
AIME LA PLAGNE,ANGERS SAINT LAUD,10,0.4444444444444444
AIME LA PLAGNE,ANGERS SAINT LAUD,11,0.4444444444444444
AIME LA PLAGNE,ANGERS SAINT LAUD,12,0.3222222222222222
AIME LA PLAGNE,ANGERS SAINT LAUD,13,0.3277777777777778
AIME LA PLAGNE,ANGERS SAINT LAUD,14,0.23888888888888887
AIME LA PLAGNE,ANGERS SAINT LAUD,15,0.25555555555555554
AIME LA PLAGNE,ANGERS SAINT LAUD,16,0.31666666666666665
AIME LA PLAGNE,ANGERS SAINT LAUD,17,0.21111111111111114
AIME LA PLAGNE,ANGERS SAINT LAUD,18,0.15555555555555556
AIME LA PLAGNE,ANGERS SAINT LAUD,19,0.27222222222222225
AIME LA PLAGNE,ANGERS SAINT LAUD,20,0.2944444444444445
AIME LA PLAGNE,ANGERS SAINT LAUD,21,0.24444444444444446
AIME LA PLAGNE,ANGERS SAINT LAUD,22,0.30000000000000004
AIME LA PLAGNE,ANGERS SAINT LAUD,23,0.3333333333333333
AIME LA PLAGNE,ANGERS SAINT LAUD,24,0.25555555555555554
AIME LA PLAGNE,ANGERS SAINT LAUD,25,0.15555555555555556
AIME LA PLAGNE,ANGERS SAINT LAUD,26,0.13333333333333333
