origine,destination,delta_days,proba_open
AIME LA PLAGNE,BOURG SAINT MAURICE,0,1.0
AIME LA PLAGNE,BOURG SAINT MAURICE,1,1.0
AIME LA PLAGNE,BOURG SAINT MAURICE,2,1.0
AIME LA PLAGNE,BOURG SAINT MAURICE,3,0.975
AIME LA PLAGNE,BOURG SAINT MAURICE,4,1.0
AIME LA PLAGNE,BOURG SAINT MAURICE,5,1.0
AIME LA PLAGNE,BOURG SAINT MAURICE,6,1.0
AIME LA PLAGNE,BOURG SAINT MAURICE,7,1.0
AIME LA PLAGNE,BOURG SAINT MAURICE,8,1.0
AIME LA PLAGNE,BOURG SAINT MAURICE,9,1.0
AIME LA PLAGNE,BOURG SAINT MAURICE,10,1.0
AIME LA PLAGNE,BOURG SAINT MAURICE,11,1.0
AIME LA PLAGNE,BOURG SAINT MAURICE,12,0.0
AIME LA PLAGNE,BOURG SAINT MAURICE,13,0.0
AIME LA PLAGNE,BOURG SAINT MAURICE,14,0.0
AIME LA PLAGNE,BOURG SAINT MAURICE,15,0.3
AIME LA PLAGNE,BOURG SAINT MAURICE,16,0.375
AIME LA PLAGNE,BOURG SAINT MAURICE,17,0.025
AIME LA PLAGNE,BOURG SAINT MAURICE,18,0.0
AIME LA PLAGNE,BOURG SAINT MAURICE,19,0.0
AIME LA PLAGNE,BOURG SAINT MAURICE,20,0.0
AIME LA PLAGNE,BOURG SAINT MAURICE,21,0.0
AIME LA PLAGNE,BOURG SAINT MAURICE,22,0.0
AIME LA PLAGNE,BOURG SAINT MAURICE,23,0.0
AIME LA PLAGNE,BOURG SAINT MAURICE,24,0.0
AIME LA PLAGNE,BOURG SAINT MAURICE,25,0.0
AIME LA PLAGNE,BOURG SAINT MAURICE,26,0.0
AIME LA PLAGNE,BOURG SAINT MAURICE,27,0.0
AIME LA PLAGNE,BOURG SAINT MAURICE,28,0.0
AIME LA PLAGNE,BOURG SAINT MAURICE,29,0.0
AIME LA PLAGNE,BOURG SAINT MAURICE,30,0.0
AIME LA PLAGNE,LANDRY,0,1.0
AIME LA PLAGNE,LANDRY,1,1.0
AIME LA PLAGNE,LANDRY,2,0.975
AIME LA PLAGNE,LANDRY,3,0.975
AIME LA PLAGNE,LANDRY,4,1.0
AIME LA PLAGNE,LANDRY,5,1.0
AIME LA PLAGNE,LANDRY,6,0.975
AIME LA PLAGNE,LANDRY,7,0.975
AIME LA PLAGNE,LANDRY,8,1.0
AIME LA PLAGNE,LANDRY,9,1.0
AIME LA PLAGNE,LANDRY,10,1.0
AIME LA PLAGNE,LANDRY,11,0.975
AIME LA PLAGNE,LANDRY,12,0.025
AIME LA PLAGNE,LANDRY,13,0.0
AIME LA PLAGNE,LANDRY,14,0.025
AIME LA PLAGNE,LANDRY,15,0.275
AIME LA PLAGNE,LANDRY,16,0.425
AIME LA PLAGNE,LANDRY,17,0.075
AIME LA PLAGNE,LANDRY,18,0.025
AIME LA PLAGNE,LANDRY,19,0.0
AIME LA PLAGNE,LANDRY,20,0.0
AIME LA PLAGNE,LANDRY,21,0.0
AIME LA PLAGNE,LANDRY,22,0.0
