origine,destination,delta_days,proba_open
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,0,1.0
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,1,1.0
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,2,1.0
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,3,1.0
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,4,0.975
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,5,1.0
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,6,1.0
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,7,1.0
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,8,1.0
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,9,0.975
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,10,1.0
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,11,1.0
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,12,1.0
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,13,1.0
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,14,1.0
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,15,1.0
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,16,1.0
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,17,1.0
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,18,1.0
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,19,1.0
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,20,1.0
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,21,1.0
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,22,1.0
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,23,1.0
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,24,1.0
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,25,1.0
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,26,1.0
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,27,1.0
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,28,1.0
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,29,0.9
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,30,0.125
AEROPORT ROISSY CDG 2 TGV,ANNECY,0,1.0
AEROPORT ROISSY CDG 2 TGV,ANNECY,1,1.0
AEROPORT ROISSY CDG 2 TGV,ANNECY,2,1.0
AEROPORT ROISSY CDG 2 TGV,ANNECY,3,1.0
AEROPORT ROISSY CDG 2 TGV,ANNECY,4,1.0
AEROPORT ROISSY CDG 2 TGV,ANNECY,5,1.0
AEROPORT ROISSY CDG 2 TGV,ANNECY,6,1.0
AEROPORT ROISSY CDG 2 TGV,ANNECY,7,1.0
