origine,destination,delta_days,proba_open
CHORGES,BRIANCON,0,0.0012195121951219512
CHORGES,BRIANCON,1,0.0
CHORGES,BRIANCON,2,0.0012195121951219512
CHORGES,BRIANCON,3,0.0
CHORGES,BRIANCON,4,0.0
CHORGES,BRIANCON,5,0.0
CHORGES,BRIANCON,6,0.0
CHORGES,BRIANCON,7,0.0
CHORGES,BRIANCON,8,0.0
CHORGES,BRIANCON,9,0.0
CHORGES,BRIANCON,10,0.0
CHORGES,BRIANCON,11,0.0
CHORGES,BRIANCON,12,0.0
CHORGES,BRIANCON,13,0.0
CHORGES,BRIANCON,14,0.0
CHORGES,BRIANCON,15,0.0
CHORGES,BRIANCON,16,0.0
CHORGES,BRIANCON,17,0.0
CHORGES,BRIANCON,18,0.0
CHORGES,BRIANCON,19,0.0
CHORGES,BRIANCON,20,0.0
CHORGES,BRIANCON,21,0.0
CHORGES,BRIANCON,22,0.0
CHORGES,BRIANCON,23,0.0
CHORGES,BRIANCON,24,0.0
CHORGES,BRIANCON,25,0.0
CHORGES,BRIANCON,26,0.0
CHORGES,BRIANCON,27,0.0
CHORGES,BRIANCON,28,0.0
CHORGES,BRIANCON,29,0.0
CHORGES,BRIANCON,30,0.0
CHORGES,EMBRUN,0,0.0012195121951219512
CHORGES,EMBRUN,1,0.0024390243902439024
CHORGES,EMBRUN,2,0.0012195121951219512
CHORGES,EMBRUN,3,0.0012195121951219512
CHORGES,EMBRUN,4,0.0
CHORGES,EMBRUN,5,0.0
CHORGES,EMBRUN,6,0.0
CHORGES,EMBRUN,7,0.0
CHORGES,EMBRUN,8,0.0
CHORGES,EMBRUN,9,0.0
CHORGES,EMBRUN,10,0.0
CHORGES,EMBRUN,11,0.0
CHORGES,EMBRUN,12,0.0
CHORGES,EMBRUN,13,0.0
CHORGES,EMBRUN,14,0.0
CHORGES,EMBRUN,15,0.0
CHORGES,EMBRUN,16,0.0
CHORGES,EMBRUN,17,0.0
CHORGES,EMBRUN,18,0.0
CHORGES,EMBRUN,19,0.0
CHORGES,EMBRUN,20,0.0
CHORGES,EMBRUN,21,0.0
CHORGES,EMBRUN,22,0.0
CHORGES,EMBRUN,23,0.00125
CHORGES,EMBRUN,24,0.0012195121951219512
CHORGES,EMBRUN,25,0.0
CHORGES,EMBRUN,26,0.0
CHORGES,EMBRUN,27,0.0
CHORGES,EMBRUN,28,0.0
CHORGES,EMBRUN,29,0.0011627906976744186
CHORGES,EMBRUN,30,0.0
CHORGES,L'ARGENTIERE LES ECRINS,0,0.0012195121951219512
CHORGES,L'ARGENTIERE LES ECRINS,1,0.0
CHORGES,L'ARGENTIERE LES ECRINS,2,0.0
CHORGES,L'ARGENTIERE LES ECRINS,3,0.0
CHORGES,L'ARGENTIERE LES ECRINS,4,0.0
CHORGES,L'ARGENTIERE LES ECRINS,5,0.0
CHORGES,L'ARGENTIERE LES ECRINS,6,0.0
CHORGES,L'ARGENTIERE LES ECRINS,7,0.0
CHORGES,L'ARGENTIERE LES ECRINS,8,0.0
CHORGES,L'ARGENTIERE LES ECRINS,9,0.0
CHORGES,L'ARGENTIERE LES ECRINS,10,0.0
CHORGES,L'ARGENTIERE LES ECRINS,11,0.0
CHORGES,L'ARGENTIERE LES ECRINS,12,0.0
CHORGES,L'ARGENTIERE LES ECRINS,13,0.0
CHORGES,L'ARGENTIERE LES ECRINS,14,0.001282051282051282
CHORGES,L'ARGENTIERE LES ECRINS,15,0.0
CHORGES,L'ARGENTIERE LES ECRINS,16,0.0
CHORGES,L'ARGENTIERE LES ECRINS,17,0.0
CHORGES,L'ARGENTIERE LES ECRINS,18,0.0
CHORGES,L'ARGENTIERE LES ECRINS,19,0.0
CHORGES,L'ARGENTIERE LES ECRINS,20,0.0
CHORGES,L'ARGENTIERE LES ECRINS,21,0.0
CHORGES,L'ARGENTIERE LES ECRINS,22,0.0
CHORGES,L'ARGENTIERE LES ECRINS,23,0.0
CHORGES,L'ARGENTIERE LES ECRINS,24,0.0
CHORGES,L'ARGENTIERE LES ECRINS,25,0.0
CHORGES,L'ARGENTIERE LES ECRINS,26,0.0
CHORGES,L'ARGENTIERE LES ECRINS,27,0.0
CHORGES,L'ARGENTIERE LES ECRINS,28,0.0
CHORGES,L'ARGENTIERE LES ECRINS,29,0.0
CHORGES,L'ARGENTIERE LES ECRINS,30,0.0
CHORGES,MONTDAUPHIN GUILLESTRE,0,0.0024390243902439024
CHORGES,MONTDAUPHIN GUILLESTRE,1,0.0
CHORGES,MONTDAUPHIN GUILLESTRE,2,0.0
CHORGES,MONTDAUPHIN GUILLESTRE,3,0.0
CHORGES,MONTDAUPHIN GUILLESTRE,4,0.0
CHORGES,MONTDAUPHIN GUILLESTRE,5,0.0
CHORGES,MONTDAUPHIN GUILLESTRE,6,0.0
CHORGES,MONTDAUPHIN GUILLESTRE,7,0.0
CHORGES,MONTDAUPHIN GUILLESTRE,8,0.0
CHORGES,MONTDAUPHIN GUILLESTRE,9,0.0
CHORGES,MONTDAUPHIN GUILLESTRE,10,0.0
CHORGES,MONTDAUPHIN GUILLESTRE,11,0.0
CHORGES,MONTDAUPHIN GUILLESTRE,12,0.0
CHORGES,MONTDAUPHIN GUILLESTRE,13,0.0
CHORGES,MONTDAUPHIN GUILLESTRE,14,0.0
CHORGES,MONTDAUPHIN GUILLESTRE,15,0.0
CHORGES,MONTDAUPHIN GUILLESTRE,16,0.0
CHORGES,MONTDAUPHIN GUILLESTRE,17,0.0
CHORGES,MONTDAUPHIN GUILLESTRE,18,0.0
CHORGES,MONTDAUPHIN GUILLESTRE,19,0.0
CHORGES,MONTDAUPHIN GUILLESTRE,20,0.0
CHORGES,MONTDAUPHIN GUILLESTRE,21,0.0
CHORGES,MONTDAUPHIN GUILLESTRE,22,0.001282051282051282
CHORGES,MONTDAUPHIN GUILLESTRE,23,0.00125
CHORGES,MONTDAUPHIN GUILLESTRE,24,0.0012195121951219512
CHORGES,MONTDAUPHIN GUILLESTRE,25,0.0012195121951219512
CHORGES,MONTDAUPHIN GUILLESTRE,26,0.0
CHORGES,MONTDAUPHIN GUILLESTRE,27,0.0
