origine,destination,delta_days,proba_open
AEROPORT ROISSY CDG 2 TGV,BELFORT MONTBELIARD TGV,0,0.1
AEROPORT ROISSY CDG 2 TGV,BELFORT MONTBELIARD TGV,1,0.1
AEROPORT ROISSY CDG 2 TGV,BELFORT MONTBELIARD TGV,2,0.85
AEROPORT ROISSY CDG 2 TGV,BELFORT MONTBELIARD TGV,3,0.85
AEROPORT ROISSY CDG 2 TGV,BELFORT MONTBELIARD TGV,4,0.15
AEROPORT ROISSY CDG 2 TGV,BELFORT MONTBELIARD TGV,5,0.0
AEROPORT ROISSY CDG 2 TGV,BELFORT MONTBELIARD TGV,6,0.0
AEROPORT ROISSY CDG 2 TGV,BELFORT MONTBELIARD TGV,7,0.0
AEROPORT ROISSY CDG 2 TGV,BELFORT MONTBELIARD TGV,8,0.0
AEROPORT ROISSY CDG 2 TGV,BELFORT MONTBELIARD TGV,9,0.0
AEROPORT ROISSY CDG 2 TGV,BELFORT MONTBELIARD TGV,10,0.0
AEROPORT ROISSY CDG 2 TGV,BELFORT MONTBELIARD TGV,11,0.05
AEROPORT ROISSY CDG 2 TGV,BELFORT MONTBELIARD TGV,12,0.3
AEROPORT ROISSY CDG 2 TGV,BELFORT MONTBELIARD TGV,13,0.85
AEROPORT ROISSY CDG 2 TGV,BELFORT MONTBELIARD TGV,14,0.95
AEROPORT ROISSY CDG 2 TGV,BELFORT MONTBELIARD TGV,15,0.95
AEROPORT ROISSY CDG 2 TGV,BELFORT MONTBELIARD TGV,16,0.15
AEROPORT ROISSY CDG 2 TGV,BELFORT MONTBELIARD TGV,17,0.05
AEROPORT ROISSY CDG 2 TGV,BELFORT MONTBELIARD TGV,18,0.05
AEROPORT ROISSY CDG 2 TGV,BELFORT MONTBELIARD TGV,19,0.05
AEROPORT ROISSY CDG 2 TGV,BELFORT MONTBELIARD TGV,20,0.0
AEROPORT ROISSY CDG 2 TGV,BELFORT MONTBELIARD TGV,21,0.0
AEROPORT ROISSY CDG 2 TGV,BELFORT MONTBELIARD TGV,22,0.0
AEROPORT ROISSY CDG 2 TGV,BELFORT MONTBELIARD TGV,23,0.0
