origine,destination,delta_days,proba_open
BASEL SBB,BELFORT MONTBELIARD TGV,0,0.0
BASEL SBB,BELFORT MONTBELIARD TGV,1,0.0
BASEL SBB,BELFORT MONTBELIARD TGV,2,0.0
BASEL SBB,BELFORT MONTBELIARD TGV,3,0.0
BASEL SBB,BELFORT MONTBELIARD TGV,4,0.0
BASEL SBB,BELFORT MONTBELIARD TGV,5,0.0
BASEL SBB,BELFORT MONTBELIARD TGV,6,0.0
BASEL SBB,BELFORT MONTBELIARD TGV,7,0.0
BASEL SBB,BELFORT MONTBELIARD TGV,8,0.0
BASEL SBB,BELFORT MONTBELIARD TGV,9,0.0
BASEL SBB,BELFORT MONTBELIARD TGV,10,0.0
BASEL SBB,BELFORT MONTBELIARD TGV,11,0.0
BASEL SBB,BELFORT MONTBELIARD TGV,12,0.0
BASEL SBB,BELFORT MONTBELIARD TGV,13,0.0
BASEL SBB,BELFORT MONTBELIARD TGV,14,0.0
BASEL SBB,BELFORT MONTBELIARD TGV,15,0.0
BASEL SBB,BELFORT MONTBELIARD TGV,16,0.0
BASEL SBB,BELFORT MONTBELIARD TGV,17,0.0
BASEL SBB,BELFORT MONTBELIARD TGV,18,0.0
BASEL SBB,BELFORT MONTBELIARD TGV,19,0.0
BASEL SBB,BELFORT MONTBELIARD TGV,20,0.0
BASEL SBB,BELFORT MONTBELIARD TGV,21,0.0
BASEL SBB,BELFORT MONTBELIARD TGV,22,0.0
BASEL SBB,BELFORT MONTBELIARD TGV,23,0.0
BASEL SBB,BELFORT MONTBELIARD TGV,24,0.0
BASEL SBB,BELFORT MONTBELIARD TGV,25,0.0
BASEL SBB,BELFORT MONTBELIARD TGV,26,0.0
BASEL SBB,BELFORT MONTBELIARD TGV,27,0.0
BASEL SBB,BELFORT MONTBELIARD TGV,28,0.0
BASEL SBB,BELFORT MONTBELIARD TGV,29,0.0
BASEL SBB,BELFORT MONTBELIARD TGV,30,0.0
BASEL SBB,DIJON VILLE,0,0.00030120481927710846
BASEL SBB,DIJON VILLE,1,0.0
BASEL SBB,DIJON VILLE,2,0.0
BASEL SBB,DIJON VILLE,3,0.0
BASEL SBB,DIJON VILLE,4,0.0
BASEL SBB,DIJON VILLE,5,0.0
BASEL SBB,DIJON VILLE,6,0.0
BASEL SBB,DIJON VILLE,7,0.0
BASEL SBB,DIJON VILLE,8,0.0
BASEL SBB,DIJON VILLE,9,0.0
BASEL SBB,DIJON VILLE,10,0.0
BASEL SBB,DIJON VILLE,11,0.0
BASEL SBB,DIJON VILLE,12,0.0
BASEL SBB,DIJON VILLE,13,0.0
BASEL SBB,DIJON VILLE,14,0.0
BASEL SBB,DIJON VILLE,15,0.0
BASEL SBB,DIJON VILLE,16,0.0
BASEL SBB,DIJON VILLE,17,0.0
BASEL SBB,DIJON VILLE,18,0.0
BASEL SBB,DIJON VILLE,19,0.0
BASEL SBB,DIJON VILLE,20,0.0
BASEL SBB,DIJON VILLE,21,0.0
BASEL SBB,DIJON VILLE,22,0.0
BASEL SBB,DIJON VILLE,23,0.0
BASEL SBB,DIJON VILLE,24,0.0
BASEL SBB,DIJON VILLE,25,0.0
BASEL SBB,DIJON VILLE,26,0.0
BASEL SBB,DIJON VILLE,27,0.0
BASEL SBB,DIJON VILLE,28,0.0
BASEL SBB,DIJON VILLE,29,0.0
BASEL SBB,DIJON VILLE,30,0.0
BASEL SBB,MULHOUSE VILLE,0,0.00018867924528301889
