origine,destination,delta_days,proba_open
AGDE,MONTPELLIER SAINT ROCH,0,0.0
AGDE,MONTPELLIER SAINT ROCH,1,0.0
AGDE,MONTPELLIER SAINT ROCH,2,0.0
AGDE,MONTPELLIER SAINT ROCH,3,0.0
AGDE,MONTPELLIER SAINT ROCH,4,0.0
AGDE,MONTPELLIER SAINT ROCH,5,0.0
AGDE,MONTPELLIER SAINT ROCH,6,0.0
AGDE,MONTPELLIER SAINT ROCH,7,0.0
AGDE,MONTPELLIER SAINT ROCH,8,0.0
AGDE,MONTPELLIER SAINT ROCH,9,0.0
AGDE,MONTPELLIER SAINT ROCH,10,0.0
AGDE,MONTPELLIER SAINT ROCH,11,0.0
AGDE,MONTPELLIER SAINT ROCH,12,0.0
AGDE,MONTPELLIER SAINT ROCH,13,0.0
AGDE,MONTPELLIER SAINT ROCH,14,0.0
AGDE,MONTPELLIER SAINT ROCH,15,0.0
AGDE,MONTPELLIER SAINT ROCH,16,0.0
AGDE,MONTPELLIER SAINT ROCH,17,0.0
AGDE,MONTPELLIER SAINT ROCH,18,0.0
AGDE,MONTPELLIER SAINT ROCH,19,0.0
AGDE,MONTPELLIER SAINT ROCH,20,0.0
AGDE,MONTPELLIER SAINT ROCH,21,0.0
AGDE,MONTPELLIER SAINT ROCH,22,0.0
AGDE,NIMES CENTRE,0,0.0
AGDE,NIMES CENTRE,1,0.0
AGDE,NIMES CENTRE,2,0.0
AGDE,NIMES CENTRE,3,0.0
AGDE,NIMES CENTRE,4,0.0
AGDE,NIMES CENTRE,5,0.0
AGDE,NIMES CENTRE,6,0.0
AGDE,NIMES CENTRE,7,0.0
AGDE,NIMES CENTRE,8,0.0
AGDE,NIMES CENTRE,9,0.0
AGDE,NIMES CENTRE,10,0.0
AGDE,NIMES CENTRE,11,0.0
AGDE,NIMES CENTRE,12,0.0
AGDE,NIMES CENTRE,13,0.0
AGDE,NIMES CENTRE,14,0.0
AGDE,NIMES CENTRE,15,0.0
AGDE,NIMES CENTRE,16,0.0
AGDE,NIMES CENTRE,17,0.0
AGDE,NIMES CENTRE,18,0.0
AGDE,NIMES CENTRE,19,0.0
AGDE,NIMES CENTRE,20,0.0
AGDE,NIMES CENTRE,21,0.0
AGDE,NIMES CENTRE,22,0.0
AGDE,PARIS (intramuros),0,0.0
AGDE,PARIS (intramuros),1,0.0
AGDE,PARIS (intramuros),2,0.0
AGDE,PARIS (intramuros),3,0.0
AGDE,PARIS (intramuros),4,0.0
AGDE,PARIS (intramuros),5,0.0
AGDE,PARIS (intramuros),6,0.0
AGDE,PARIS (intramuros),7,0.0
AGDE,PARIS (intramuros),8,0.0
AGDE,PARIS (intramuros),9,0.0
AGDE,PARIS (intramuros),10,0.0
AGDE,PARIS (intramuros),11,0.0
AGDE,PARIS (intramuros),12,0.0
AGDE,PARIS (intramuros),13,0.0
AGDE,PARIS (intramuros),14,0.0
AGDE,PARIS (intramuros),15,0.0
