origine,destination,delta_days,proba_open
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,0,0.475
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,1,0.475
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,2,0.475
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,3,0.45
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,4,0.025
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,5,0.025
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,6,0.0
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,7,0.0
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,8,0.0
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,9,0.0
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,10,0.0
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,11,0.05
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,12,0.0
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,13,0.0
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,14,0.0
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,15,0.0
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,16,0.0
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,17,0.0
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,18,0.0
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,19,0.0
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,20,0.0
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,21,0.0
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,22,0.0
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,23,0.025
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,24,0.025
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,25,0.025
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,26,0.125
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,27,0.4
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,28,0.5
