origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AIX EN PROVENCE TGV,AVIGNON TGV,29,13,29,117
AIX EN PROVENCE TGV,LYON ST EXUPERY TGV.,2,2,6,3
AIX EN PROVENCE TGV,PARIS (intramuros),29,13,29,100
AVIGNON TGV,LYON ST EXUPERY TGV.,2,2,5,4
AVIGNON TGV,PARIS (intramuros),29,12,29,101
LYON ST EXUPERY TGV.,PARIS (intramuros),2,2,2,1
MARSEILLE ST CHARLES,AIX EN PROVENCE TGV,28,11,29,37
MARSEILLE ST CHARLES,AVIGNON TGV,29,13,29,117
MARSEILLE ST CHARLES,LYON ST EXUPERY TGV.,2,2,5,4
MARSEILLE ST CHARLES,PARIS (intramuros),29,13,29,100
