origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AIX EN PROVENCE TGV,AVIGNON TGV,29,18,29,139
AIX EN PROVENCE TGV,LYON ST EXUPERY TGV.,2,2,6,3
AIX EN PROVENCE TGV,PARIS (intramuros),29,14,29,121
AVIGNON TGV,LYON ST EXUPERY TGV.,2,2,5,4
AVIGNON TGV,PARIS (intramuros),29,14,29,122
LYON ST EXUPERY TGV.,PARIS (intramuros),2,2,2,1
MARSEILLE ST CHARLES,AIX EN PROVENCE TGV,26,11,29,42
MARSEILLE ST CHARLES,AVIGNON TGV,29,18,29,139
MARSEILLE ST CHARLES,LYON ST EXUPERY TGV.,2,2,5,4
MARSEILLE ST CHARLES,PARIS (intramuros),29,14,29,121
