origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AGDE,BEZIERS,11,3,23,341
AGDE,NARBONNE,11,3,23,341
AGDE,PERPIGNAN,11,3,23,341
BEZIERS,NARBONNE,11,3,23,342
BEZIERS,PERPIGNAN,11,3,23,342
LYON (intramuros),MONTPELLIER SUD DE FRANCE,14,8,21,2
LYON (intramuros),NIMES PONT DU GARD,14,8,21,2
LYON (intramuros),VALENCE VILLE,14,8,21,2
MARNE LA VALLEE CHESSY,AGDE,24,13,26,3
MARNE LA VALLEE CHESSY,BEZIERS,24,13,26,3
MARNE LA VALLEE CHESSY,MONTPELLIER SAINT ROCH,24,20,26,3
MARNE LA VALLEE CHESSY,NARBONNE,24,13,26,3
MARNE LA VALLEE CHESSY,NIMES CENTRE,24,20,26,3
MARNE LA VALLEE CHESSY,PERPIGNAN,24,13,26,3
MARNE LA VALLEE CHESSY,SETE,24,13,26,3
MARNE LA VALLEE CHESSY,VALENCE TGV AUVERGNE RHONE ALPES,24,20,26,3
MONTPELLIER SAINT ROCH,AGDE,8,3,11,314
MONTPELLIER SAINT ROCH,BEZIERS,8,3,11,314
MONTPELLIER SAINT ROCH,NARBONNE,8,3,11,314
MONTPELLIER SAINT ROCH,PERPIGNAN,8,3,11,314
MONTPELLIER SAINT ROCH,SETE,8,3,11,314
MONTPELLIER SUD DE FRANCE,AGDE,10,3,18,219
MONTPELLIER SUD DE FRANCE,BEZIERS,10,3,18,220
MONTPELLIER SUD DE FRANCE,NARBONNE,10,3,18,220
MONTPELLIER SUD DE FRANCE,PERPIGNAN,10,3,18,220
MONTPELLIER SUD DE FRANCE,SETE,10,3,18,219
NARBONNE,PERPIGNAN,11,3,23,342
NIMES CENTRE,AGDE,8,3,11,314
NIMES CENTRE,BEZIERS,8,3,11,314
NIMES CENTRE,MONTPELLIER SAINT ROCH,11,4,29,342
NIMES CENTRE,NARBONNE,8,3,11,314
NIMES CENTRE,PERPIGNAN,8,3,11,314
NIMES CENTRE,SETE,8,3,11,314
NIMES PONT DU GARD,AGDE,10,3,18,219
NIMES PONT DU GARD,BEZIERS,10,3,18,220
NIMES PONT DU GARD,MONTPELLIER SUD DE FRANCE,11,8,29,363
NIMES PONT DU GARD,NARBONNE,10,3,18,220
NIMES PONT DU GARD,PERPIGNAN,10,3,18,220
NIMES PONT DU GARD,SETE,10,3,18,219
PARIS (intramuros),AGDE,10,3,27,230
PARIS (intramuros),BEZIERS,10,3,27,230
PARIS (intramuros),LYON (intramuros),2,2,2,1
PARIS (intramuros),MONTPELLIER SAINT ROCH,18,3,29,245
PARIS (intramuros),MONTPELLIER SUD DE FRANCE,11,3,29,258
PARIS (intramuros),NARBONNE,10,3,27,230
PARIS (intramuros),NIMES CENTRE,18,3,29,245
PARIS (intramuros),NIMES PONT DU GARD,11,3,29,258
PARIS (intramuros),PERPIGNAN,10,3,27,230
PARIS (intramuros),SETE,10,3,27,230
PARIS (intramuros),VALENCE TGV AUVERGNE RHONE ALPES,25,7,29,294
PARIS (intramuros),VALENCE VILLE,6,4,9,2
SETE,AGDE,11,3,23,341
SETE,BEZIERS,11,3,23,341
SETE,NARBONNE,11,3,23,341
SETE,PERPIGNAN,11,3,23,341
VALENCE TGV AUVERGNE RHONE ALPES,AGDE,10,3,18,264
VALENCE TGV AUVERGNE RHONE ALPES,BEZIERS,10,3,18,264
VALENCE TGV AUVERGNE RHONE ALPES,MONTPELLIER SAINT ROCH,11,4,29,338
VALENCE TGV AUVERGNE RHONE ALPES,MONTPELLIER SUD DE FRANCE,11,8,29,361
VALENCE TGV AUVERGNE RHONE ALPES,NARBONNE,10,3,18,264
VALENCE TGV AUVERGNE RHONE ALPES,NIMES CENTRE,11,4,29,338
VALENCE TGV AUVERGNE RHONE ALPES,NIMES PONT DU GARD,11,8,29,361
VALENCE TGV AUVERGNE RHONE ALPES,PERPIGNAN,10,3,18,264
VALENCE TGV AUVERGNE RHONE ALPES,SETE,10,3,18,264
VALENCE VILLE,AGDE,7,5,9,2
VALENCE VILLE,BEZIERS,7,5,9,2
VALENCE VILLE,MONTPELLIER SUD DE FRANCE,15,9,21,2
VALENCE VILLE,NARBONNE,7,5,9,2
VALENCE VILLE,NIMES PONT DU GARD,15,9,21,2
VALENCE VILLE,PERPIGNAN,7,5,9,2
VALENCE VILLE,SETE,7,5,9,2
